Market,Market full name,Genre,Android,iOS,Total
USA,米国,マッチング,18.86%,28.10%,46.96%
GBR,英国,マッチング,2.78%,3.12%,5.91%
JPN,日本,マッチング,2.77%,2.93%,5.70%
DEU,ドイツ,マッチング,3.48%,1.64%,5.12%
KOR,韓国,マッチング,2.68%,0.63%,3.32%
FRA,フランス,マッチング,1.68%,1.00%,2.68%
CAN,カナダ,マッチング,0.81%,1.53%,2.34%
BRA,ブラジル,マッチング,1.41%,0.60%,2.01%
AUS,オーストラリア,マッチング,0.69%,1.19%,1.88%
ITA,イタリア,マッチング,1.18%,0.63%,1.82%
USA,米国,シミュレーション,13.40%,18.89%,32.29%
DEU,ドイツ,シミュレーション,4.00%,1.68%,5.68%
GBR,英国,シミュレーション,2.80%,2.59%,5.39%
BRA,ブラジル,シミュレーション,3.00%,0.65%,3.66%
JPN,日本,シミュレーション,2.10%,1.39%,3.50%
FRA,フランス,シミュレーション,2.14%,1.06%,3.20%
TUR,トルコ,シミュレーション,2.49%,0.51%,3.00%
RUS,ロシア,シミュレーション,1.98%,0.95%,2.93%
CAN,カナダ,シミュレーション,1.37%,1.52%,2.89%
KOR,韓国,シミュレーション,1.96%,0.46%,2.42%
USA,米国,RPG,15.14%,9.98%,25.13%
KOR,韓国,RPG,21.47%,3.48%,24.95%
JPN,日本,RPG,5.24%,4.51%,9.76%
TWN,台湾,RPG,3.71%,2.35%,6.06%
DEU,ドイツ,RPG,2.86%,0.86%,3.72%
VNM,ベトナム,RPG,0.34%,2.90%,3.24%
GBR,英国,RPG,1.89%,1.22%,3.10%
FRA,フランス,RPG,2.23%,0.80%,3.02%
CAN,カナダ,RPG,1.47%,0.81%,2.29%
RUS,ロシア,RPG,1.31%,0.57%,1.88%
USA,米国,パズル,13.81%,29.70%,43.50%
GBR,英国,パズル,2.95%,3.42%,6.37%
DEU,ドイツ,パズル,3.72%,1.43%,5.15%
JPN,日本,パズル,2.88%,1.79%,4.66%
CAN,カナダ,パズル,1.58%,2.61%,4.19%
FRA,フランス,パズル,1.84%,0.99%,2.83%
KOR,韓国,パズル,2.04%,0.33%,2.37%
AUS,オーストラリア,パズル,1.09%,1.26%,2.35%
BRA,ブラジル,パズル,1.77%,0.53%,2.30%
MEX,メキシコ,パズル,1.65%,0.25%,1.91%
USA,米国,戦略,17.93%,16.08%,34.01%
JPN,日本,戦略,2.48%,4.58%,7.06%
DEU,ドイツ,戦略,4.05%,2.15%,6.20%
KOR,韓国,戦略,5.09%,0.76%,5.85%
GBR,英国,戦略,2.77%,2.41%,5.17%
FRA,フランス,戦略,2.42%,1.43%,3.85%
CAN,カナダ,戦略,1.64%,1.30%,2.94%
SAU,サウジアラビア,戦略,0.70%,1.98%,2.67%
RUS,ロシア,戦略,1.99%,0.43%,2.42%
TWN,台湾,戦略,1.64%,0.68%,2.32%
USA,米国,テーブルトップ,13.61%,34.10%,47.71%
