Market,Market full name,Genre,Android,iOS,Total
USA,미국,매치,18.86%,28.10%,46.96%
GBR,영국,매치,2.78%,3.12%,5.91%
JPN,일본,매치,2.77%,2.93%,5.70%
DEU,독일,매치,3.48%,1.64%,5.12%
KOR,한국,매치,2.68%,0.63%,3.32%
FRA,프랑스,매치,1.68%,1.00%,2.68%
CAN,캐나다,매치,0.81%,1.53%,2.34%
BRA,브라질,매치,1.41%,0.60%,2.01%
AUS,호주,매치,0.69%,1.19%,1.88%
ITA,이탈리아,매치,1.18%,0.63%,1.82%
USA,미국,시뮬레이션,13.40%,18.89%,32.29%
DEU,독일,시뮬레이션,4.00%,1.68%,5.68%
GBR,영국,시뮬레이션,2.80%,2.59%,5.39%
BRA,브라질,시뮬레이션,3.00%,0.65%,3.66%
JPN,일본,시뮬레이션,2.10%,1.39%,3.50%
FRA,프랑스,시뮬레이션,2.14%,1.06%,3.20%
TUR,터키,시뮬레이션,2.49%,0.51%,3.00%
RUS,러시아,시뮬레이션,1.98%,0.95%,2.93%
CAN,캐나다,시뮬레이션,1.37%,1.52%,2.89%
KOR,한국,시뮬레이션,1.96%,0.46%,2.42%
USA,미국,RPG,15.14%,9.98%,25.13%
KOR,한국,RPG,21.47%,3.48%,24.95%
JPN,일본,RPG,5.24%,4.51%,9.76%
TWN,대만,RPG,3.71%,2.35%,6.06%
DEU,독일,RPG,2.86%,0.86%,3.72%
VNM,베트남,RPG,0.34%,2.90%,3.24%
GBR,영국,RPG,1.89%,1.22%,3.10%
FRA,프랑스,RPG,2.23%,0.80%,3.02%
CAN,캐나다,RPG,1.47%,0.81%,2.29%
RUS,러시아,RPG,1.31%,0.57%,1.88%
USA,미국,퍼즐,13.81%,29.70%,43.50%
GBR,영국,퍼즐,2.95%,3.42%,6.37%
DEU,독일,퍼즐,3.72%,1.43%,5.15%
JPN,일본,퍼즐,2.88%,1.79%,4.66%
CAN,캐나다,퍼즐,1.58%,2.61%,4.19%
FRA,프랑스,퍼즐,1.84%,0.99%,2.83%
KOR,한국,퍼즐,2.04%,0.33%,2.37%
AUS,호주,퍼즐,1.09%,1.26%,2.35%
BRA,브라질,퍼즐,1.77%,0.53%,2.30%
MEX,멕시코,퍼즐,1.65%,0.25%,1.91%
USA,미국,전략,17.93%,16.08%,34.01%
JPN,일본,전략,2.48%,4.58%,7.06%
DEU,독일,전략,4.05%,2.15%,6.20%
KOR,한국,전략,5.09%,0.76%,5.85%
GBR,영국,전략,2.77%,2.41%,5.17%
FRA,프랑스,전략,2.42%,1.43%,3.85%
CAN,캐나다,전략,1.64%,1.30%,2.94%
SAU,사우디아라비아,전략,0.70%,1.98%,2.67%
RUS,러시아,전략,1.99%,0.43%,2.42%
TWN,대만,전략,1.64%,0.68%,2.32%
USA,미국,테이블탑,13.61%,34.10%,47.71%
GBR,영국,테이블탑,2.23%,4.15%,6.38%
DEU,독일,테이블탑,3.82%,2.38%,6.20%
CAN,캐나다,테이블탑,1.11%,3.22%,4.33%
FRA,프랑스,테이블탑,1.40%,1.24%,2.64%
AUS,호주,테이블탑,0.91%,1.64%,2.55%
JPN,일본,테이블탑,1.69%,0.82%,2.51%
RUS,러시아,테이블탑,0.48%,1.23%,1.71%
BRA,브라질,테이블탑,1.36%,0.25%,1.61%
SAU,사우디아라비아,테이블탑,0.21%,1.31%,1.51%
USA,미국,카지노,21.66%,43.85%,65.51%
GBR,영국,카지노,1.46%,2.60%,4.07%
DEU,독일,카지노,2.53%,1.40%,3.93%
AUS,호주,카지노,1.60%,1.52%,3.12%
JPN,일본,카지노,0.60%,1.93%,2.54%
VNM,베트남,카지노,1.62%,0.77%,2.38%
TWN,대만,카지노,0.72%,1.48%,2.20%
CAN,캐나다,카지노,0.53%,1.47%,2.00%
TUR,터키,카지노,0.95%,0.68%,1.64%
FRA,프랑스,카지노,0.42%,1.11%,1.53%
USA,미국,액션,14.97%,15.22%,30.19%
DEU,독일,액션,3.95%,1.50%,5.45%
RUS,러시아,액션,2.82%,1.14%,3.96%
FRA,프랑스,액션,2.52%,1.27%,3.79%
BRA,브라질,액션,3.28%,0.50%,3.78%
GBR,영국,액션,2.28%,1.48%,3.76%
TUR,터키,액션,2.54%,1.01%,3.55%
KOR,한국,액션,2.05%,0.54%,2.59%
JPN,일본,액션,1.40%,1.16%,2.55%
IDN,인도네시아,액션,2.16%,0.38%,2.54%
USA,미국,하이퍼캐주얼,8.97%,14.21%,23.17%
GBR,영국,하이퍼캐주얼,2.02%,2.87%,4.89%
DEU,독일,하이퍼캐주얼,2.84%,1.49%,4.34%
BRA,브라질,하이퍼캐주얼,2.96%,1.24%,4.20%
IND,인도,하이퍼캐주얼,3.83%,0.28%,4.10%
RUS,러시아,하이퍼캐주얼,1.66%,2.37%,4.03%
FRA,프랑스,하이퍼캐주얼,1.98%,1.58%,3.56%
JPN,일본,하이퍼캐주얼,1.12%,1.37%,2.49%
MEX,멕시코,하이퍼캐주얼,1.76%,0.62%,2.39%
TUR,터키,하이퍼캐주얼,1.48%,0.89%,2.37%
USA,미국,파티,28.40%,32.78%,61.18%
GBR,영국,파티,3.02%,2.32%,5.33%
DEU,독일,파티,2.14%,2.09%,4.23%
CAN,캐나다,파티,1.43%,2.16%,3.59%
FRA,프랑스,파티,1.67%,1.24%,2.91%
BRA,브라질,파티,1.62%,0.48%,2.10%
ITA,이탈리아,파티,1.18%,0.61%,1.79%
JPN,일본,파티,0.87%,0.80%,1.67%
POL,폴란드,파티,1.12%,0.28%,1.40%
AUS,호주,파티,0.49%,0.58%,1.07%
