Market,Market full name,Genre,Android,iOS,Total
USA,US,Match,24.70%,24.30%,49.00%
GBR,UK,Match,3.40%,2.60%,6.00%
DEU,Germany,Match,3.80%,1.60%,5.40%
JPN,Japan,Match,2.90%,1.80%,4.70%
KOR,Korea,Match,3.30%,0.60%,3.90%
FRA,France,Match,1.90%,0.80%,2.70%
CAN,Canada,Match,1.00%,1.30%,2.30%
BRA,Brazil,Match,1.50%,0.60%,2.20%
AUS,Australia,Match,0.70%,1.00%,1.70%
ITA,Italy,Match,1.20%,0.50%,1.70%
USA,US,Simulation,16.10%,20.60%,36.70%
GBR,UK,Simulation,3.10%,2.80%,5.90%
JPN,Japan,Simulation,3.00%,2.40%,5.40%
DEU,Germany,Simulation,3.40%,1.90%,5.30%
CAN,Canada,Simulation,1.70%,1.90%,3.60%
BRA,Brazil,Simulation,2.70%,0.80%,3.50%
KOR,Korea,Simulation,2.50%,0.60%,3.10%
FRA,France,Simulation,1.80%,1.00%,2.80%
AUS,Australia,Simulation,0.90%,1.30%,2.20%
RUS,Russia,Simulation,1.60%,0.60%,2.10%
KOR,Korea,RPG,23.50%,2.30%,25.80%
USA,US,RPG,16.70%,9.00%,25.70%
JPN,Japan,RPG,5.40%,3.30%,8.70%
TWN,Taiwan,RPG,3.40%,1.70%,5.10%
DEU,Germany,RPG,3.20%,1.00%,4.30%
GBR,UK,RPG,2.00%,1.20%,3.30%
FRA,France,RPG,2.40%,0.70%,3.10%
CAN,Canada,RPG,1.70%,0.70%,2.50%
RUS,Russia,RPG,1.90%,0.20%,2.20%
AUS,Australia,RPG,1.00%,0.60%,1.70%
USA,US,Puzzle,21.80%,22.00%,43.80%
GBR,UK,Puzzle,3.80%,2.50%,6.30%
DEU,Germany,Puzzle,4.10%,1.10%,5.20%
JPN,Japan,Puzzle,3.30%,1.10%,4.30%
CAN,Canada,Puzzle,2.30%,2.00%,4.30%
BRA,Brazil,Puzzle,2.30%,0.50%,2.80%
FRA,France,Puzzle,2.10%,0.60%,2.70%
KOR,Korea,Puzzle,2.20%,0.20%,2.40%
AUS,Australia,Puzzle,1.20%,1.10%,2.30%
ITA,Italy,Puzzle,1.60%,0.40%,1.90%
USA,US,Strategy,20.40%,12.10%,32.60%
DEU,Germany,Strategy,4.80%,1.70%,6.50%
KOR,Korea,Strategy,6.00%,0.60%,6.50%
JPN,Japan,Strategy,2.50%,3.40%,5.80%
GBR,UK,Strategy,3.10%,1.80%,4.90%
FRA,France,Strategy,2.80%,0.90%,3.70%
RUS,Russia,Strategy,2.90%,0.30%,3.20%
CAN,Canada,Strategy,1.80%,0.90%,2.70%
SAU,Saudi Arabia,Strategy,0.90%,1.50%,2.40%
TWN,Taiwan,Strategy,1.70%,0.60%,2.30%
USA,US,Tabletop,22.70%,30.30%,53.00%
DEU,Germany,Tabletop,4.40%,2.30%,6.70%
GBR,UK,Tabletop,2.70%,3.70%,6.40%
CAN,Canada,Tabletop,1.60%,3.00%,4.60%
FRA,France,Tabletop,1.30%,1.20%,2.50%
AUS,Australia,Tabletop,1.10%,1.40%,2.50%
JPN,Japan,Tabletop,1.50%,0.40%,2.00%
KOR,Korea,Tabletop,1.80%,0.10%,1.90%
RUS,Russia,Tabletop,0.90%,0.80%,1.70%
BRA,Brazil,Tabletop,1.40%,0.10%,1.60%
USA,US,Casino,30.60%,34.20%,64.80%
GBR,UK,Casino,1.90%,3.80%,5.70%
DEU,Germany,Casino,3.10%,1.30%,4.40%
AUS,Australia,Casino,2.80%,1.30%,4.10%
CAN,Canada,Casino,0.80%,1.40%,2.20%
JPN,Japan,Casino,0.80%,0.80%,1.60%
TWN,Taiwan,Casino,0.80%,0.60%,1.50%
TUR,Türkiye,Casino,1.10%,0.30%,1.40%
VNM,Viet Nam,Casino,1.00%,0.40%,1.40%
FRA,France,Casino,0.40%,0.90%,1.30%
USA,US,Action,15.50%,13.00%,28.50%
DEU,Germany,Action,4.30%,2.20%,6.50%
KOR,Korea,Action,4.80%,1.30%,6.10%
FRA,France,Action,3.30%,1.70%,5.00%
GBR,UK,Action,2.30%,1.30%,3.60%
JPN,Japan,Action,1.90%,1.70%,3.60%
TUR,Türkiye,Action,1.80%,1.40%,3.20%
CAN,Canada,Action,1.60%,1.40%,3.00%
BRA,Brazil,Action,2.30%,0.60%,2.90%
ITA,Italy,Action,1.30%,1.10%,2.40%
USA,US,Hypercasual,12.30%,11.20%,23.50%
BRA,Brazil,Hypercasual,3.80%,1.40%,5.20%
IND,India,Hypercasual,4.90%,0.30%,5.20%
GBR,UK,Hypercasual,2.20%,2.10%,4.20%
DEU,Germany,Hypercasual,2.80%,1.20%,4.00%
RUS,Russia,Hypercasual,1.60%,1.70%,3.20%
JPN,Japan,Hypercasual,1.50%,1.50%,3.10%
MEX,Mexico,Hypercasual,2.50%,0.60%,3.10%
FRA,France,Hypercasual,1.30%,1.30%,2.60%
IDN,Indonesia,Hypercasual,2.10%,0.40%,2.50%
