HQ country,HQ country full name,Destination,Total
CHN,中国,北米,0.358
USA,米国,北米,0.598
CYP,キプロス,北米,0.309
TUR,トルコ,北米,0.447
VNM,ベトナム,北米,0.253
GBR,英国,北米,0.375
KOR,韓国,北米,0.278
ISR,イスラエル,北米,0.472
FRA,フランス,北米,0.358
JPN,日本,北米,0.313
IRL,アイルランド,北米,0.513
DEU,ドイツ,北米,0.398
BRA,ブラジル,北米,0.352
IND,インド,北米,0.348
CHN,中国,ヨーロッパ,0.251
USA,米国,ヨーロッパ,0.218
CYP,キプロス,ヨーロッパ,0.323
TUR,トルコ,ヨーロッパ,0.281
VNM,ベトナム,ヨーロッパ,0.301
GBR,英国,ヨーロッパ,0.302
KOR,韓国,ヨーロッパ,0.216
ISR,イスラエル,ヨーロッパ,0.295
FRA,フランス,ヨーロッパ,0.312
JPN,日本,ヨーロッパ,0.199
IRL,アイルランド,ヨーロッパ,0.236
DEU,ドイツ,ヨーロッパ,0.365
BRA,ブラジル,ヨーロッパ,0.314
IND,インド,ヨーロッパ,0.330
CHN,中国,アジア太平洋地域,0.269
USA,米国,アジア太平洋地域,0.099
CYP,キプロス,アジア太平洋地域,0.179
TUR,トルコ,アジア太平洋地域,0.167
VNM,ベトナム,アジア太平洋地域,0.239
GBR,英国,アジア太平洋地域,0.155
KOR,韓国,アジア太平洋地域,0.407
ISR,イスラエル,アジア太平洋地域,0.122
FRA,フランス,アジア太平洋地域,0.171
JPN,日本,アジア太平洋地域,0.346
IRL,アイルランド,アジア太平洋地域,0.183
DEU,ドイツ,アジア太平洋地域,0.121
BRA,ブラジル,アジア太平洋地域,0.120
IND,インド,アジア太平洋地域,0.158
CHN,中国,その他の地域,0.122
USA,米国,その他の地域,0.084
CYP,キプロス,その他の地域,0.189
TUR,トルコ,その他の地域,0.105
VNM,ベトナム,その他の地域,0.208
GBR,英国,その他の地域,0.168
KOR,韓国,その他の地域,0.100
ISR,イスラエル,その他の地域,0.111
FRA,フランス,その他の地域,0.159
JPN,日本,その他の地域,0.141
IRL,アイルランド,その他の地域,0.068
DEU,ドイツ,その他の地域,0.115
BRA,ブラジル,その他の地域,0.214
IND,インド,その他の地域,0.164
