Market,Market full name,Genre,Android,iOS,Total
HKG,中国香港,角色扮演类,66.0,71.0,67.9
KWT,科威特,角色扮演类,65.9,59.3,63.8
ARE,阿联酋,角色扮演类,50.1,51.0,50.2
CHE,瑞士,角色扮演类,47.1,52.6,49.0
SGP,新加坡,角色扮演类,46.0,53.8,50.0
ISR,以色列,角色扮演类,41.9,41.1,41.5
NOR,挪威,角色扮演类,41.7,31.6,35.2
KOR,韩国,角色扮演类,41.2,38.3,40.2
TWN,中国台湾,角色扮演类,38.6,42.5,40.0
JPN,日本,角色扮演类,37.0,42.3,40.4
AUT,奥地利,角色扮演类,35.2,33.5,34.6
USA,美国,角色扮演类,34.4,41.5,37.9
AUS,澳大利亚,角色扮演类,33.5,37.9,35.9
NLD,荷兰,角色扮演类,32.5,31.4,31.9
BEL,比利时,角色扮演类,31.5,30.7,31.4
SAU,沙特阿拉伯,角色扮演类,,36.4,33.9
CAN,加拿大,角色扮演类,31.4,36.2,32.8
QAT,卡塔尔,角色扮演类,,,65.7
CHE,瑞士,匹配类,16.8,22.5,20.7
ISR,以色列,匹配类,14.8,19.3,18.6
IRL,爱尔兰,匹配类,13.2,20.2,17.1
HKG,中国香港,匹配类,12.7,22.2,20.5
HRV,克罗地亚,匹配类,12.2,,14.5
NOR,挪威,匹配类,12.0,17.3,15.6
AUT,奥地利,匹配类,11.3,18.8,13.9
AUS,澳大利亚,匹配类,8.2,14.3,10.3
SVK,斯洛伐克,匹配类,8.1,,13.3
SGP,新加坡,匹配类,7.5,22.1,16.1
NZL,新西兰,匹配类,7.5,16.1,10.9
USA,美国,匹配类,7.4,15.0,11.0
SWE,瑞典,匹配类,7.3,14.1,12.5
CAN,加拿大,匹配类,6.8,14.1,10.3
BEL,比利时,匹配类,6.6,16.0,13.4
KWT,科威特,匹配类,,22.0,21.4
GRC,希腊,匹配类,2.5,22.0,15.5
ARE,阿联酋,匹配类,1.9,21.0,14.8
FIN,芬兰,匹配类,6.1,17.9,15.7
ZAF,南非,匹配类,2.7,16.3,11.0
PRT,葡萄牙,匹配类,1.4,15.3,11.5
QAT,卡塔尔,匹配类,,,25.2
SRB,塞尔维亚,匹配类,0.7,,14.9
CHE,瑞士,模拟类,23.9,21.4,22.7
HKG,中国香港,模拟类,20.3,24.5,22.4
AUT,奥地利,模拟类,19.6,17.0,18.1
NOR,挪威,模拟类,18.5,15.3,16.3
SGP,新加坡,模拟类,16.8,16.9,16.8
JPN,日本,模拟类,16.6,17.5,17.0
ISR,以色列,模拟类,16.2,19.3,17.9
KOR,韩国,模拟类,15.1,14.8,14.9
BEL,比利时,模拟类,15.1,14.8,15.0
USA,美国,模拟类,15.0,16.1,15.1
SWE,瑞典,模拟类,14.8,13.1,14.3
DEU,德国,模拟类,14.3,15.8,14.7
TWN,中国台湾,模拟类,14.3,12.4,13.8
IRL,爱尔兰,模拟类,14.3,13.1,13.7
AUS,澳大利亚,模拟类,14.3,15.5,15.0
QAT,卡塔尔,模拟类,,26.8,25.9
KWT,科威特,模拟类,,22.2,22.0
GRC,希腊,模拟类,12.2,16.2,14.5
ARE,阿联酋,模拟类,7.6,15.6,13.8
CAN,加拿大,模拟类,14.2,14.9,14.6
HKG,中国香港,策略类,62.1,66.2,63.5
ARE,阿联酋,策略类,51.0,56.0,54.3
SGP,新加坡,策略类,41.4,46.2,45.5
CHE,瑞士,策略类,39.9,42.6,41.3
SAU,沙特阿拉伯,策略类,39.1,42.7,40.3
TWN,中国台湾,策略类,37.8,38.4,38.0
NOR,挪威,策略类,33.9,26.5,29.4
KOR,韩国,策略类,33.9,32.4,33.1
AUT,奥地利,策略类,32.7,31.2,31.8
ISR,以色列,策略类,31.6,31.1,31.5
RUS,俄罗斯,策略类,31.2,22.5,25.6
JPN,日本,策略类,30.2,34.4,31.6
BEL,比利时,策略类,29.0,28.6,28.8
IRL,爱尔兰,策略类,28.5,,27.9
USA,美国,策略类,28.4,32.8,31.0
KWT,科威特,策略类,,56.9,57.1
VNM,越南,策略类,19.5,41.5,30.1
GRC,希腊,策略类,26.2,33.8,29.1
CAN,加拿大,策略类,25.5,29.7,27.6
QAT,卡塔尔,策略类,,,76.4
HKG,中国香港,博彩类,61.5,75.1,65.4
ISR,以色列,博彩类,59.0,,56.0
NOR,挪威,博彩类,38.2,,30.9
CHE,瑞士,博彩类,33.3,40.8,37.1
SGP,新加坡,博彩类,32.8,47.8,43.0
TWN,中国台湾,博彩类,30.7,35.1,33.7
JPN,日本,博彩类,28.7,26.7,28.0
AUT,奥地利,博彩类,26.3,22.1,24.1
BEL,比利时,博彩类,25.0,32.0,25.5
NLD,荷兰,博彩类,23.4,24.4,23.8
FRA,法国,博彩类,23.3,27.3,24.0
CAN,加拿大,博彩类,22.6,29.4,26.1
AUS,澳大利亚,博彩类,22.1,27.6,23.8
SWE,瑞典,博彩类,19.8,19.7,19.8
ITA,意大利,博彩类,19.3,21.0,19.5
VNM,越南,博彩类,,43.1,30.8
MEX,墨西哥,博彩类,13.4,39.4,19.7
MYS,马来西亚,博彩类,16.3,33.2,18.1
BRA,巴西,博彩类,11.4,31.4,14.2
USA,美国,博彩类,19.2,30.8,23.6
PHL,菲律宾,博彩类,9.5,28.6,15.7
KOR,韩国,博彩类,,,73.8
PRI,波多黎各,博彩类,,,32.2
IND,印度,博彩类,18.3,,27.9
RUS,俄罗斯,博彩类,,,26.6
IRL,爱尔兰,博彩类,,,26.3
USA,美国,超休闲类,1.0,1.1,1.0
CHE,瑞士,超休闲类,0.8,1.0,0.9
JPN,日本,超休闲类,0.8,0.7,0.7
AUS,澳大利亚,超休闲类,0.8,0.6,0.8
KOR,韩国,超休闲类,0.7,0.9,0.8
NOR,挪威,超休闲类,0.7,0.5,0.6
CAN,加拿大,超休闲类,0.6,0.6,0.6
GBR,英国,超休闲类,0.6,0.6,0.6
NZL,新西兰,超休闲类,0.6,0.6,0.6
AUT,奥地利,超休闲类,0.5,0.7,0.6
HKG,中国香港,超休闲类,0.5,0.8,0.6
TWN,中国台湾,超休闲类,0.5,0.8,0.6
DEU,德国,超休闲类,0.5,0.5,0.5
IRL,爱尔兰,超休闲类,0.4,0.5,0.4
SGP,新加坡,超休闲类,0.4,0.6,0.5
QAT,卡塔尔,超休闲类,,0.6,0.4
HKG,中国香港,所有类型,34.9,40.9,37.5
ISL,冰岛,所有类型,31.8,25.4,27.4
KWT,科威特,所有类型,26.4,26.1,26.4
CHE,瑞士,所有类型,25.0,25.7,25.4
SGP,新加坡,所有类型,23.9,29.7,26.5
TWN,中国台湾,所有类型,22.7,25.0,23.9
NOR,挪威,所有类型,21.6,18.0,19.8
QAT,卡塔尔,所有类型,21.5,35.2,28.0
KOR,韩国,所有类型,21.2,22.6,21.7
ISR,以色列,所有类型,21.0,21.2,21.1
AUT,奥地利,所有类型,20.5,20.0,20.2
EST,爱沙尼亚,所有类型,18.2,16.4,17.2
JPN,日本,所有类型,18.1,20.9,19.4
SVN,斯洛文尼亚,所有类型,17.7,18.8,17.9
NLD,荷兰,所有类型,17.3,16.8,17.0
ARE,阿联酋,所有类型,15.0,24.9,22.1
USA,美国,所有类型,15.5,20.1,17.2
GRC,希腊,所有类型,14.5,19.2,15.9
AUS,澳大利亚,所有类型,15.4,18.8,16.8
ALB,阿尔巴尼亚,所有类型,,17.2,17.6
