Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
US and English Language,USA,米国,0.397,0.399,17.20,すべてのジャンル
US and English Language,GBR,英国,0.041,0.055,13.25,すべてのジャンル
US and English Language,CAN,カナダ,0.024,0.029,16.22,すべてのジャンル
US and English Language,AUS,オーストラリア,0.022,0.019,16.82,すべてのジャンル
US and English Language,NZL,ニュージーランド,0.003,0.003,13.52,すべてのジャンル
US and English Language,IRL,アイルランド,0.002,0.003,16.31,すべてのジャンル
LATAM Spanish Speaking,MEX,メキシコ,0.009,0.015,7.34,すべてのジャンル
LATAM Spanish Speaking,CHL,チリ,0.003,0.004,6.95,すべてのジャンル
LATAM Spanish Speaking,COL,コロンビア,0.001,0.003,3.80,すべてのジャンル
LATAM Spanish Speaking,ARG,アルゼンチン,0.001,0.003,4.03,すべてのジャンル
LATAM Spanish Speaking,PER,ペルー,0.001,0.002,6.48,すべてのジャンル
LATAM Spanish Speaking,PRI,プエルトリコ,0.001,0.001,14.28,すべてのジャンル
LATAM Spanish Speaking,CRI,コスタリカ,0.000,0.001,9.48,すべてのジャンル
LATAM Spanish Speaking,ECU,エクアドル,0.000,0.001,5.01,すべてのジャンル
Global Developing Markets,BRA,ブラジル,0.020,0.025,6.72,すべてのジャンル
Global Developing Markets,THA,タイ,0.013,0.011,8.84,すべてのジャンル
Global Developing Markets,IDN,インドネシア,0.008,0.013,7.75,すべてのジャンル
Global Developing Markets,VNM,ベトナム,0.007,0.011,12.78,すべてのジャンル
Global Developing Markets,PHL,フィリピン,0.006,0.009,8.38,すべてのジャンル
Global Developing Markets,IND,インド,0.005,0.008,5.44,すべてのジャンル
Global Developing Markets,MYS,マレーシア,0.005,0.006,10.23,すべてのジャンル
Global Developing Markets,ZAF,南アフリカ,0.003,0.005,9.59,すべてのジャンル
Global Developing Markets,KAZ,カザフスタン,0.001,0.003,7.59,すべてのジャンル
Global Developing Markets,EGY,エジプト,0.001,0.002,0.79,すべてのジャンル
Global Developing Markets,IRQ,イラク,0.001,0.002,4.81,すべてのジャンル
Global Developing Markets,PAK,パキスタン,0.000,0.001,0.21,すべてのジャンル
Global Developing Markets,NGA,ナイジェリア,0.000,0.001,5.55,すべてのジャンル
Europe & Middle East (Group 2),RUS,ロシア,0.013,0.020,4.85,すべてのジャンル
Europe & Middle East (Group 2),TUR,トルコ,0.010,0.019,9.03,すべてのジャンル
Europe & Middle East (Group 2),POL,ポーランド,0.008,0.010,11.86,すべてのジャンル
Europe & Middle East (Group 2),SAU,サウジアラビア,0.004,0.010,12.72,すべてのジャンル
Europe & Middle East (Group 2),UKR,ウクライナ,0.004,0.005,11.18,すべてのジャンル
Europe & Middle East (Group 2),ROU,ルーマニア,0.003,0.004,11.32,すべてのジャンル
Europe & Middle East (Group 2),CZE,チェコ,0.002,0.003,13.32,すべてのジャンル
Europe & Middle East (Group 2),GRC,ギリシャ,0.002,0.003,15.89,すべてのジャンル
Europe & Middle East (Group 2),PRT,ポルトガル,0.002,0.003,13.75,すべてのジャンル
Europe & Middle East (Group 2),HUN,ハンガリー,0.001,0.002,11.63,すべてのジャンル
Europe & Middle East (Group 2),FIN,フィンランド,0.001,0.003,15.93,すべてのジャンル
Europe & Middle East (Group 2),BGR,ブルガリア,0.001,0.001,12.51,すべてのジャンル
Europe & Middle East (Group 2),SVK,スロベニア,0.001,0.001,13.61,すべてのジャンル
Europe & Middle East (Group 2),HRV,クロアチア,0.001,0.001,14.90,すべてのジャンル
Europe & Middle East (Group 2),SRB,セルビア,0.001,0.001,14.43,すべてのジャンル
