Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
US and English Language,USA,미국,0.397,0.399,17.20,모든 장르
US and English Language,GBR,영국,0.041,0.055,13.25,모든 장르
US and English Language,CAN,캐나다,0.024,0.029,16.22,모든 장르
US and English Language,AUS,호주,0.022,0.019,16.82,모든 장르
US and English Language,NZL,뉴질랜드,0.003,0.003,13.52,모든 장르
US and English Language,IRL,아일랜드,0.002,0.003,16.31,모든 장르
LATAM Spanish Speaking,MEX,멕시코,0.009,0.015,7.34,모든 장르
LATAM Spanish Speaking,CHL,칠레,0.003,0.004,6.95,모든 장르
LATAM Spanish Speaking,COL,콜롬비아,0.001,0.003,3.80,모든 장르
LATAM Spanish Speaking,ARG,아르헨티나,0.001,0.003,4.03,모든 장르
LATAM Spanish Speaking,PER,페루,0.001,0.002,6.48,모든 장르
LATAM Spanish Speaking,PRI,푸에르토리코,0.001,0.001,14.28,모든 장르
LATAM Spanish Speaking,CRI,코스타리카,0.000,0.001,9.48,모든 장르
LATAM Spanish Speaking,ECU,에콰도르,0.000,0.001,5.01,모든 장르
Global Developing Markets,BRA,브라질,0.020,0.025,6.72,모든 장르
Global Developing Markets,THA,태국,0.013,0.011,8.84,모든 장르
Global Developing Markets,IDN,인도네시아,0.008,0.013,7.75,모든 장르
Global Developing Markets,VNM,베트남,0.007,0.011,12.78,모든 장르
Global Developing Markets,PHL,필리핀,0.006,0.009,8.38,모든 장르
Global Developing Markets,IND,인도,0.005,0.008,5.44,모든 장르
Global Developing Markets,MYS,말레이시아,0.005,0.006,10.23,모든 장르
Global Developing Markets,ZAF,남아프리카공화국,0.003,0.005,9.59,모든 장르
Global Developing Markets,KAZ,카자흐스탄,0.001,0.003,7.59,모든 장르
Global Developing Markets,EGY,이집트,0.001,0.002,0.79,모든 장르
Global Developing Markets,IRQ,이라크,0.001,0.002,4.81,모든 장르
Global Developing Markets,PAK,파키스탄,0.000,0.001,0.21,모든 장르
Global Developing Markets,NGA,나이지리아,0.000,0.001,5.55,모든 장르
Europe & Middle East (Group 2),RUS,러시아,0.013,0.020,4.85,모든 장르
Europe & Middle East (Group 2),TUR,터키,0.010,0.019,9.03,모든 장르
Europe & Middle East (Group 2),POL,폴란드,0.008,0.010,11.86,모든 장르
Europe & Middle East (Group 2),SAU,사우디아라비아,0.004,0.010,12.72,모든 장르
Europe & Middle East (Group 2),UKR,우크라이나,0.004,0.005,11.18,모든 장르
Europe & Middle East (Group 2),ROU,루마니아,0.003,0.004,11.32,모든 장르
Europe & Middle East (Group 2),CZE,체코,0.002,0.003,13.32,모든 장르
Europe & Middle East (Group 2),GRC,그리스,0.002,0.003,15.89,모든 장르
Europe & Middle East (Group 2),PRT,포르투갈,0.002,0.003,13.75,모든 장르
Europe & Middle East (Group 2),HUN,헝가리,0.001,0.002,11.63,모든 장르
Europe & Middle East (Group 2),FIN,핀란드,0.001,0.003,15.93,모든 장르
Europe & Middle East (Group 2),BGR,불가리아,0.001,0.001,12.51,모든 장르
Europe & Middle East (Group 2),SVK,슬로바키아,0.001,0.001,13.61,모든 장르
Europe & Middle East (Group 2),HRV,크로아티아,0.001,0.001,14.90,모든 장르
Europe & Middle East (Group 2),SRB,세르비아,0.001,0.001,14.43,모든 장르
Europe & Middle East (Group 2),BLR,벨라루스,0.001,0.001,10.32,모든 장르
Europe & Middle East (Group 2),LTU,리투아니아,0.000,0.001,14.06,모든 장르
Europe & Middle East (Group 2),ALB,알바니아,0.000,0.000,17.59,모든 장르
Europe & Middle East (Group 2),EST,에스토니아,0.000,0.000,17.16,모든 장르
Europe & Middle East (Group 2),SVN,슬로베니아,0.000,0.000,17.92,모든 장르
Europe & Middle East (Group 2),LVA,라트비아,0.000,0.001,13.04,모든 장르
Europe & Middle East (Group 1),DEU,독일,0.049,0.054,15.94,모든 장르
Europe & Middle East (Group 1),FRA,프랑스,0.028,0.032,16.77,모든 장르
Europe & Middle East (Group 1),ITA,이탈리아,0.013,0.015,13.73,모든 장르
Europe & Middle East (Group 1),ESP,스페인,0.009,0.010,13.76,모든 장르
Europe & Middle East (Group 1),NLD,네덜란드,0.008,0.010,17.02,모든 장르
Europe & Middle East (Group 1),CHE,스위스,0.006,0.006,25.39,모든 장르
Europe & Middle East (Group 1),AUT,오스트리아,0.005,0.006,20.24,모든 장르
Europe & Middle East (Group 1),BEL,벨기에,0.004,0.007,17.00,모든 장르
Europe & Middle East (Group 1),SWE,스웨덴,0.004,0.005,15.39,모든 장르
Europe & Middle East (Group 1),ISR,이스라엘,0.003,0.003,21.07,모든 장르
Europe & Middle East (Group 1),NOR,노르웨이,0.003,0.004,19.84,모든 장르
Europe & Middle East (Group 1),ARE,아랍에미리트,0.003,0.005,22.09,모든 장르
Europe & Middle East (Group 1),DNK,덴마크,0.003,0.004,16.35,모든 장르
Europe & Middle East (Group 1),KWT,쿠웨이트,0.002,0.001,26.39,모든 장르
Europe & Middle East (Group 1),QAT,카타르,0.001,0.001,27.99,모든 장르
Europe & Middle East (Group 1),ISL,아이슬란드,0.000,0.000,27.37,모든 장르
East Asia Pacific,KOR,한국,0.083,0.037,21.67,모든 장르
East Asia Pacific,JPN,일본,0.082,0.040,19.40,모든 장르
East Asia Pacific,TWN,대만,0.035,0.013,23.85,모든 장르
East Asia Pacific,HKG,홍콩,0.017,,37.48,모든 장르
