Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
US and English Language,USA,美国,0.397,0.399,17.20,所有类型
US and English Language,GBR,英国,0.041,0.055,13.25,所有类型
US and English Language,CAN,加拿大,0.024,0.029,16.22,所有类型
US and English Language,AUS,澳大利亚,0.022,0.019,16.82,所有类型
US and English Language,NZL,新西兰,0.003,0.003,13.52,所有类型
US and English Language,IRL,爱尔兰,0.002,0.003,16.31,所有类型
LATAM Spanish Speaking,MEX,墨西哥,0.009,0.015,7.34,所有类型
LATAM Spanish Speaking,CHL,智利,0.003,0.004,6.95,所有类型
LATAM Spanish Speaking,COL,哥伦比亚,0.001,0.003,3.80,所有类型
LATAM Spanish Speaking,ARG,阿根廷,0.001,0.003,4.03,所有类型
LATAM Spanish Speaking,PER,秘鲁,0.001,0.002,6.48,所有类型
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.001,14.28,所有类型
LATAM Spanish Speaking,CRI,哥斯达黎加,0.000,0.001,9.48,所有类型
LATAM Spanish Speaking,ECU,厄瓜多尔,0.000,0.001,5.01,所有类型
Global Developing Markets,BRA,巴西,0.020,0.025,6.72,所有类型
Global Developing Markets,THA,泰国,0.013,0.011,8.84,所有类型
Global Developing Markets,IDN,印度尼西亚,0.008,0.013,7.75,所有类型
Global Developing Markets,VNM,越南,0.007,0.011,12.78,所有类型
Global Developing Markets,PHL,菲律宾,0.006,0.009,8.38,所有类型
Global Developing Markets,IND,印度,0.005,0.008,5.44,所有类型
Global Developing Markets,MYS,马来西亚,0.005,0.006,10.23,所有类型
Global Developing Markets,ZAF,南非,0.003,0.005,9.59,所有类型
Global Developing Markets,KAZ,哈萨克斯坦,0.001,0.003,7.59,所有类型
Global Developing Markets,EGY,埃及,0.001,0.002,0.79,所有类型
Global Developing Markets,IRQ,伊拉克,0.001,0.002,4.81,所有类型
Global Developing Markets,PAK,巴基斯坦,0.000,0.001,0.21,所有类型
Global Developing Markets,NGA,尼日利亚,0.000,0.001,5.55,所有类型
Europe & Middle East (Group 2),RUS,俄罗斯,0.013,0.020,4.85,所有类型
Europe & Middle East (Group 2),TUR,土耳其,0.010,0.019,9.03,所有类型
Europe & Middle East (Group 2),POL,波兰,0.008,0.010,11.86,所有类型
Europe & Middle East (Group 2),SAU,沙特阿拉伯,0.004,0.010,12.72,所有类型
Europe & Middle East (Group 2),UKR,乌克兰,0.004,0.005,11.18,所有类型
Europe & Middle East (Group 2),ROU,罗马尼亚,0.003,0.004,11.32,所有类型
Europe & Middle East (Group 2),CZE,捷克,0.002,0.003,13.32,所有类型
Europe & Middle East (Group 2),GRC,希腊,0.002,0.003,15.89,所有类型
Europe & Middle East (Group 2),PRT,葡萄牙,0.002,0.003,13.75,所有类型
Europe & Middle East (Group 2),HUN,匈牙利,0.001,0.002,11.63,所有类型
Europe & Middle East (Group 2),FIN,芬兰,0.001,0.003,15.93,所有类型
Europe & Middle East (Group 2),BGR,保加利亚,0.001,0.001,12.51,所有类型
Europe & Middle East (Group 2),SVK,斯洛伐克,0.001,0.001,13.61,所有类型
Europe & Middle East (Group 2),HRV,克罗地亚,0.001,0.001,14.90,所有类型
Europe & Middle East (Group 2),SRB,塞尔维亚,0.001,0.001,14.43,所有类型
Europe & Middle East (Group 2),BLR,白俄罗斯,0.001,0.001,10.32,所有类型
Europe & Middle East (Group 2),LTU,立陶宛,0.000,0.001,14.06,所有类型
Europe & Middle East (Group 2),ALB,阿尔巴尼亚,0.000,0.000,17.59,所有类型
Europe & Middle East (Group 2),EST,爱沙尼亚,0.000,0.000,17.16,所有类型
Europe & Middle East (Group 2),SVN,斯洛文尼亚,0.000,0.000,17.92,所有类型
Europe & Middle East (Group 2),LVA,拉脱维亚,0.000,0.001,13.04,所有类型
Europe & Middle East (Group 1),DEU,德国,0.049,0.054,15.94,所有类型
Europe & Middle East (Group 1),FRA,法国,0.028,0.032,16.77,所有类型
Europe & Middle East (Group 1),ITA,意大利,0.013,0.015,13.73,所有类型
Europe & Middle East (Group 1),ESP,西班牙,0.009,0.010,13.76,所有类型
Europe & Middle East (Group 1),NLD,荷兰,0.008,0.010,17.02,所有类型
Europe & Middle East (Group 1),CHE,瑞士,0.006,0.006,25.39,所有类型
Europe & Middle East (Group 1),AUT,奥地利,0.005,0.006,20.24,所有类型
Europe & Middle East (Group 1),BEL,比利时,0.004,0.007,17.00,所有类型
Europe & Middle East (Group 1),SWE,瑞典,0.004,0.005,15.39,所有类型
Europe & Middle East (Group 1),ISR,以色列,0.003,0.003,21.07,所有类型
Europe & Middle East (Group 1),NOR,挪威,0.003,0.004,19.84,所有类型
Europe & Middle East (Group 1),ARE,阿联酋,0.003,0.005,22.09,所有类型
Europe & Middle East (Group 1),DNK,丹麦,0.003,0.004,16.35,所有类型
Europe & Middle East (Group 1),KWT,科威特,0.002,0.001,26.39,所有类型
Europe & Middle East (Group 1),QAT,卡塔尔,0.001,0.001,27.99,所有类型
Europe & Middle East (Group 1),ISL,冰岛,0.000,0.000,27.37,所有类型
East Asia Pacific,KOR,韩国,0.083,0.037,21.67,所有类型
East Asia Pacific,JPN,日本,0.082,0.040,19.40,所有类型
East Asia Pacific,TWN,中国台湾,0.035,0.013,23.85,所有类型
East Asia Pacific,HKG,中国香港,0.017,,37.48,所有类型
East Asia Pacific,SGP,新加坡,0.005,0.003,26.50,所有类型
US and English Language,USA,美国,0.530,0.655,23.57,博彩类
US and English Language,GBR,英国,0.032,0.041,17.81,博彩类
US and English Language,CAN,加拿大,0.032,0.020,25.97,博彩类
US and English Language,AUS,澳大利亚,0.052,0.031,23.54,博彩类
US and English Language,NZL,新西兰,0.005,0.004,18.64,博彩类
US and English Language,IRL,爱尔兰,0.001,0.001,25.46,博彩类
LATAM Spanish Speaking,MEX,墨西哥,0.004,0.002,19.26,博彩类
LATAM Spanish Speaking,CHL,智利,0.002,0.001,13.33,博彩类
LATAM Spanish Speaking,ARG,阿根廷,0.001,0.001,14.14,博彩类
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.000,32.17,博彩类
Global Developing Markets,BRA,巴西,0.026,0.006,14.16,博彩类
Global Developing Markets,THA,泰国,0.003,0.003,19.68,博彩类
Global Developing Markets,IDN,印度尼西亚,0.003,0.004,15.85,博彩类
Global Developing Markets,VNM,越南,0.004,0.024,30.98,博彩类
Global Developing Markets,PHL,菲律宾,0.004,0.003,15.71,博彩类
Global Developing Markets,IND,印度,0.008,0.004,27.81,博彩类
Global Developing Markets,MYS,马来西亚,0.008,0.003,17.86,博彩类
Global Developing Markets,ZAF,南非,0.002,0.004,18.42,博彩类
Europe & Middle East (Group 2),RUS,俄罗斯,0.001,0.002,26.62,博彩类
Europe & Middle East (Group 2),TUR,土耳其,0.020,0.016,19.05,博彩类
Europe & Middle East (Group 2),POL,波兰,0.006,0.004,18.14,博彩类
Europe & Middle East (Group 2),UKR,乌克兰,0.001,0.003,16.52,博彩类
Europe & Middle East (Group 2),ROU,罗马尼亚,0.003,0.002,16.86,博彩类
Europe & Middle East (Group 2),CZE,捷克,0.002,0.001,17.23,博彩类
Europe & Middle East (Group 2),GRC,希腊,0.003,0.001,22.14,博彩类
Europe & Middle East (Group 2),PRT,葡萄牙,0.001,0.001,19.67,博彩类
Europe & Middle East (Group 2),HUN,匈牙利,0.002,0.001,15.54,博彩类
Europe & Middle East (Group 1),DEU,德国,0.036,0.039,20.35,博彩类
Europe & Middle East (Group 1),FRA,法国,0.012,0.015,23.88,博彩类
Europe & Middle East (Group 1),ITA,意大利,0.010,0.006,19.48,博彩类
Europe & Middle East (Group 1),ESP,西班牙,0.005,0.005,19.99,博彩类
Europe & Middle East (Group 1),NLD,荷兰,0.009,0.005,23.97,博彩类
Europe & Middle East (Group 1),CHE,瑞士,0.005,0.003,37.51,博彩类
Europe & Middle East (Group 1),AUT,奥地利,0.003,0.003,24.11,博彩类
Europe & Middle East (Group 1),BEL,比利时,0.002,0.002,25.46,博彩类
Europe & Middle East (Group 1),SWE,瑞典,0.003,0.002,19.52,博彩类
Europe & Middle East (Group 1),ISR,以色列,0.008,0.001,54.04,博彩类
Europe & Middle East (Group 1),NOR,挪威,0.002,0.002,30.84,博彩类
