Tier,Market,Market full name,Revenue,UA Spend,ARPPU,MIN ARPPU (for tiers),MAX ARPPU (for tiers),Genre
US and English Language Markets,USA,U.S.,0.397,,17.20,,,All genres
US and English Language Markets,AUS,Australia,0.022,,16.82,,,All genres
US and English Language Markets,IRL,Ireland,0.002,,16.31,,,All genres
US and English Language Markets,CAN,Canada,0.024,,16.22,,,All genres
US and English Language Markets,NZL,New Zealand,0.003,,13.52,,,All genres
US and English Language Markets,GBR,U.K.,0.041,,13.25,,,All genres
East Asia Pacific,KOR,South Korea,0.083,,21.67,,,All genres
East Asia Pacific,JPN,Japan,0.082,,19.40,,,All genres
East Asia Pacific,TWN,Taiwan,0.035,,23.85,,,All genres
East Asia Pacific,HKG,Hong Kong,0.017,,37.48,,,All genres
East Asia Pacific,SGP,Singapore,0.005,,26.50,,,All genres
East Asia Pacific,MAC,Macao SAR,0.000,,44.59,,,All genres
Europe & Middle East (Tier 1),DEU,Germany,0.049,,15.94,,,All genres
Europe & Middle East (Tier 1),FRA,France,0.028,,16.77,,,All genres
Europe & Middle East (Tier 1),ITA,Italy,0.013,,13.73,,,All genres
Europe & Middle East (Tier 1),ESP,Spain,0.009,,13.76,,,All genres
Europe & Middle East (Tier 1),NLD,Netherlands,0.008,,17.02,,,All genres
Europe & Middle East (Tier 1),CHE,Switzerland,0.006,,25.39,,,All genres
Europe & Middle East (Tier 1),AUT,Austria,0.005,,20.24,,,All genres
Europe & Middle East (Tier 1),BEL,Belgium,0.004,,17.00,,,All genres
Europe & Middle East (Tier 1),SWE,Sweden,0.004,,15.39,,,All genres
Europe & Middle East (Tier 1),ISR,Israel,0.003,,21.07,,,All genres
Europe & Middle East (Tier 1),NOR,Norway,0.003,,19.84,,,All genres
Europe & Middle East (Tier 1),ARE,UAE,0.003,,22.09,,,All genres
Europe & Middle East (Tier 1),DNK,Denmark,0.003,,16.35,,,All genres
Europe & Middle East (Tier 1),KWT,Kuwait,0.002,,26.39,,,All genres
Europe & Middle East (Tier 1),QAT,Qatar,0.001,,27.99,,,All genres
Europe & Middle East (Tier 2),RUS,Russia,0.013,,4.85,,,All genres
Europe & Middle East (Tier 2),TUR,Turkiye,0.010,,9.03,,,All genres
Europe & Middle East (Tier 2),POL,Poland,0.008,,11.86,,,All genres
Europe & Middle East (Tier 2),SAU,Saudi Arabia,0.004,,12.72,,,All genres
Europe & Middle East (Tier 2),UKR,Ukraine,0.004,,11.18,,,All genres
Europe & Middle East (Tier 2),ROU,Romania,0.003,,11.32,,,All genres
Europe & Middle East (Tier 2),CZE,Czechia,0.002,,13.32,,,All genres
Europe & Middle East (Tier 2),GRC,Greece,0.002,,15.89,,,All genres
Europe & Middle East (Tier 2),PRT,Portugal,0.002,,13.75,,,All genres
Europe & Middle East (Tier 2),HUN,Hungary,0.001,,11.63,,,All genres
Europe & Middle East (Tier 2),FIN,Finland,0.001,,15.93,,,All genres
Europe & Middle East (Tier 2),BGR,Bulgaria,0.001,,12.51,,,All genres
Europe & Middle East (Tier 2),SVK,Slovakia,0.001,,13.61,,,All genres
Europe & Middle East (Tier 2),HRV,Croatia,0.001,,14.90,,,All genres
Europe & Middle East (Tier 2),SRB,Serbia,0.001,,14.43,,,All genres
Europe & Middle East (Tier 2),BLR,Belarus,0.001,,10.32,,,All genres
Europe & Middle East (Tier 2),LTU,Lithuania,0.000,,14.06,,,All genres
Europe & Middle East (Tier 2),ALB,Albania,0.000,,17.59,,,All genres
Global Developing Markets,BRA,Brazil,0.020,,6.72,,,All genres
Global Developing Markets,THA,Thailand,0.013,,8.84,,,All genres
Global Developing Markets,IDN,Indonesia,0.008,,7.75,,,All genres
Global Developing Markets,VNM,Vietnam,0.007,,12.78,,,All genres
