Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
米国および英語圏,All countries,すべての国,(Paid UA) CPP,3.000,medium,すべてのジャンル,
米国および英語圏,All countries,すべての国,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
米国および英語圏,All countries,すべての国,Revenue Potential,0.489,,すべてのジャンル,
米国および英語圏,USA,米国,(Paid UA) CPP,2.000,good,すべてのジャンル,YES
米国および英語圏,USA,米国,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,YES
米国および英語圏,USA,米国,Revenue Potential,0.397,,すべてのジャンル,YES
米国および英語圏,GBR,英国,(Paid UA) CPP,2.000,good,すべてのジャンル,
米国および英語圏,GBR,英国,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
米国および英語圏,GBR,英国,Revenue Potential,0.041,,すべてのジャンル,
米国および英語圏,CAN,カナダ,(Paid UA) CPP,4.000,bad,すべてのジャンル,
米国および英語圏,CAN,カナダ,(Paid UA) D7 ARPPU,3.000,medium,すべてのジャンル,
米国および英語圏,CAN,カナダ,Revenue Potential,0.024,,すべてのジャンル,
米国および英語圏,AUS,オーストラリア,(Paid UA) CPP,3.000,medium,すべてのジャンル,YES
米国および英語圏,AUS,オーストラリア,(Paid UA) D7 ARPPU,4.000,good,すべてのジャンル,YES
米国および英語圏,AUS,オーストラリア,Revenue Potential,0.022,,すべてのジャンル,YES
米国および英語圏,NZL,ニュージーランド,(Paid UA) CPP,4.000,bad,すべてのジャンル,
米国および英語圏,NZL,ニュージーランド,(Paid UA) D7 ARPPU,2.000,bad,すべてのジャンル,
米国および英語圏,NZL,ニュージーランド,Revenue Potential,0.003,,すべてのジャンル,
米国および英語圏,IRL,アイルランド,(Paid UA) CPP,4.000,bad,すべてのジャンル,
米国および英語圏,IRL,アイルランド,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
米国および英語圏,IRL,アイルランド,Revenue Potential,0.002,,すべてのジャンル,
東アジア・太平洋地域,All countries,すべての国,(Paid UA) CPP,4.000,bad,すべてのジャンル,
東アジア・太平洋地域,All countries,すべての国,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,
東アジア・太平洋地域,All countries,すべての国,Revenue Potential,0.222,,すべてのジャンル,
東アジア・太平洋地域,KOR,韓国,(Paid UA) CPP,3.000,medium,すべてのジャンル,YES
東アジア・太平洋地域,KOR,韓国,(Paid UA) D7 ARPPU,5.000,good,すべてのジャンル,YES
東アジア・太平洋地域,KOR,韓国,Revenue Potential,0.083,,すべてのジャンル,YES
東アジア・太平洋地域,JPN,日本,(Paid UA) CPP,3.000,medium,すべてのジャンル,YES
