Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
美国及英语国家,All countries,美国及英语国家,(Paid UA) CPP,3.000,medium,所有类型,
美国及英语国家,All countries,美国及英语国家,(Paid UA) D7 ARPPU,3.000,medium,所有类型,
美国及英语国家,All countries,美国及英语国家,Revenue Potential,0.489,,所有类型,
美国及英语国家,USA,美国,(Paid UA) CPP,2.000,good,所有类型,YES
美国及英语国家,USA,美国,(Paid UA) D7 ARPPU,3.000,medium,所有类型,YES
美国及英语国家,USA,美国,Revenue Potential,0.397,,所有类型,YES
美国及英语国家,GBR,英国,(Paid UA) CPP,2.000,good,所有类型,
美国及英语国家,GBR,英国,(Paid UA) D7 ARPPU,2.000,bad,所有类型,
美国及英语国家,GBR,英国,Revenue Potential,0.041,,所有类型,
美国及英语国家,CAN,加拿大,(Paid UA) CPP,4.000,bad,所有类型,
美国及英语国家,CAN,加拿大,(Paid UA) D7 ARPPU,3.000,medium,所有类型,
美国及英语国家,CAN,加拿大,Revenue Potential,0.024,,所有类型,
美国及英语国家,AUS,澳大利亚,(Paid UA) CPP,3.000,medium,所有类型,YES
美国及英语国家,AUS,澳大利亚,(Paid UA) D7 ARPPU,4.000,good,所有类型,YES
美国及英语国家,AUS,澳大利亚,Revenue Potential,0.022,,所有类型,YES
美国及英语国家,NZL,新西兰,(Paid UA) CPP,4.000,bad,所有类型,
美国及英语国家,NZL,新西兰,(Paid UA) D7 ARPPU,2.000,bad,所有类型,
美国及英语国家,NZL,新西兰,Revenue Potential,0.003,,所有类型,
美国及英语国家,IRL,爱尔兰,(Paid UA) CPP,4.000,bad,所有类型,
美国及英语国家,IRL,爱尔兰,(Paid UA) D7 ARPPU,5.000,good,所有类型,
美国及英语国家,IRL,爱尔兰,Revenue Potential,0.002,,所有类型,
东亚与亚太,All countries,东亚与亚太,(Paid UA) CPP,4.000,bad,所有类型,
东亚与亚太,All countries,东亚与亚太,(Paid UA) D7 ARPPU,5.000,good,所有类型,
东亚与亚太,All countries,东亚与亚太,Revenue Potential,0.222,,所有类型,
东亚与亚太,KOR,韩国,(Paid UA) CPP,3.000,medium,所有类型,YES
东亚与亚太,KOR,韩国,(Paid UA) D7 ARPPU,5.000,good,所有类型,YES
东亚与亚太,KOR,韩国,Revenue Potential,0.083,,所有类型,YES
东亚与亚太,JPN,日本,(Paid UA) CPP,3.000,medium,所有类型,YES
东亚与亚太,JPN,日本,(Paid UA) D7 ARPPU,4.000,good,所有类型,YES
东亚与亚太,JPN,日本,Revenue Potential,0.082,,所有类型,YES
东亚与亚太,TWN,中国台湾,(Paid UA) CPP,5.000,bad,所有类型,
东亚与亚太,TWN,中国台湾,(Paid UA) D7 ARPPU,5.000,good,所有类型,
东亚与亚太,TWN,中国台湾,Revenue Potential,0.035,,所有类型,
东亚与亚太,HKG,中国香港,(Paid UA) CPP,4.000,bad,所有类型,YES
东亚与亚太,HKG,中国香港,(Paid UA) D7 ARPPU,5.000,good,所有类型,YES
东亚与亚太,HKG,中国香港,Revenue Potential,0.017,,所有类型,YES
东亚与亚太,SGP,新加坡,(Paid UA) CPP,5.000,bad,所有类型,
东亚与亚太,SGP,新加坡,(Paid UA) D7 ARPPU,5.000,good,所有类型,
东亚与亚太,SGP,新加坡,Revenue Potential,0.005,,所有类型,
欧洲与中东（第一组）,All countries,欧洲与中东（第一组）,(Paid UA) CPP,4.000,bad,所有类型,
欧洲与中东（第一组）,All countries,欧洲与中东（第一组）,(Paid UA) D7 ARPPU,4.000,good,所有类型,
欧洲与中东（第一组）,All countries,欧洲与中东（第一组）,Revenue Potential,0.140,,所有类型,
欧洲与中东（第一组）,DEU,德国,(Paid UA) CPP,2.000,good,所有类型,YES
欧洲与中东（第一组）,DEU,德国,(Paid UA) D7 ARPPU,4.000,good,所有类型,YES
欧洲与中东（第一组）,DEU,德国,Revenue Potential,0.049,,所有类型,YES
欧洲与中东（第一组）,FRA,法国,(Paid UA) CPP,2.000,good,所有类型,YES
欧洲与中东（第一组）,FRA,法国,(Paid UA) D7 ARPPU,4.000,good,所有类型,YES
欧洲与中东（第一组）,FRA,法国,Revenue Potential,0.028,,所有类型,YES
欧洲与中东（第一组）,ITA,意大利,(Paid UA) CPP,3.000,medium,所有类型,YES
欧洲与中东（第一组）,ITA,意大利,(Paid UA) D7 ARPPU,3.000,medium,所有类型,YES
欧洲与中东（第一组）,ITA,意大利,Revenue Potential,0.013,,所有类型,YES
欧洲与中东（第一组）,ESP,西班牙,(Paid UA) CPP,2.000,good,所有类型,YES
欧洲与中东（第一组）,ESP,西班牙,(Paid UA) D7 ARPPU,3.000,medium,所有类型,YES
欧洲与中东（第一组）,ESP,西班牙,Revenue Potential,0.009,,所有类型,YES
欧洲与中东（第一组）,NLD,荷兰,(Paid UA) CPP,3.000,medium,所有类型,YES
欧洲与中东（第一组）,NLD,荷兰,(Paid UA) D7 ARPPU,4.000,good,所有类型,YES
欧洲与中东（第一组）,NLD,荷兰,Revenue Potential,0.008,,所有类型,YES
欧洲与中东（第一组）,CHE,瑞士,(Paid UA) CPP,5.000,bad,所有类型,YES
欧洲与中东（第一组）,CHE,瑞士,(Paid UA) D7 ARPPU,5.000,good,所有类型,YES
欧洲与中东（第一组）,CHE,瑞士,Revenue Potential,0.006,,所有类型,YES
欧洲与中东（第一组）,AUT,奥地利,(Paid UA) CPP,4.000,bad,所有类型,
欧洲与中东（第一组）,AUT,奥地利,(Paid UA) D7 ARPPU,4.000,good,所有类型,
欧洲与中东（第一组）,AUT,奥地利,Revenue Potential,0.005,,所有类型,
欧洲与中东（第一组）,BEL,比利时,(Paid UA) CPP,4.000,bad,所有类型,
欧洲与中东（第一组）,BEL,比利时,(Paid UA) D7 ARPPU,3.000,medium,所有类型,
欧洲与中东（第一组）,BEL,比利时,Revenue Potential,0.004,,所有类型,
欧洲与中东（第一组）,SWE,瑞典,(Paid UA) CPP,4.000,bad,所有类型,
欧洲与中东（第一组）,SWE,瑞典,(Paid UA) D7 ARPPU,3.000,medium,所有类型,
欧洲与中东（第一组）,SWE,瑞典,Revenue Potential,0.004,,所有类型,
欧洲与中东（第一组）,ISR,以色列,(Paid UA) CPP,5.000,bad,所有类型,YES
欧洲与中东（第一组）,ISR,以色列,(Paid UA) D7 ARPPU,5.000,good,所有类型,YES
欧洲与中东（第一组）,ISR,以色列,Revenue Potential,0.003,,所有类型,YES
欧洲与中东（第一组）,NOR,挪威,(Paid UA) CPP,5.000,bad,所有类型,
欧洲与中东（第一组）,NOR,挪威,(Paid UA) D7 ARPPU,5.000,good,所有类型,
欧洲与中东（第一组）,NOR,挪威,Revenue Potential,0.003,,所有类型,
欧洲与中东（第一组）,ARE,阿联酋,(Paid UA) CPP,5.000,bad,所有类型,YES
欧洲与中东（第一组）,ARE,阿联酋,(Paid UA) D7 ARPPU,5.000,good,所有类型,YES
欧洲与中东（第一组）,ARE,阿联酋,Revenue Potential,0.003,,所有类型,YES
欧洲与中东（第一组）,DNK,丹麦,(Paid UA) CPP,4.000,bad,所有类型,
欧洲与中东（第一组）,DNK,丹麦,(Paid UA) D7 ARPPU,4.000,good,所有类型,
欧洲与中东（第一组）,DNK,丹麦,Revenue Potential,0.003,,所有类型,
欧洲与中东（第一组）,KWT,科威特,(Paid UA) CPP,5.000,bad,所有类型,
欧洲与中东（第一组）,KWT,科威特,(Paid UA) D7 ARPPU,5.000,good,所有类型,
欧洲与中东（第一组）,KWT,科威特,Revenue Potential,0.002,,所有类型,
